#format table ## [Custom WaveView] saved 05:23:05 Mon Jan 15 2024
TIME ,x_ssad.v(b5) ,x_ssad.v(b4) ,x_ssad.v(b3) ,x_ssad.v(b2) ,x_ssad.v(b1) ,x_ssad.v(b0) 
 6.780E-03 , 1.300E+00 , 1.300E+00 , 1.300E+00 , 1.300E+00 , 1.300E+00 , 1.329E+00 
 6.830E-03 , 6.162E-03 , 6.162E-03 , 6.162E-03 , 6.162E-03 , 1.280E+00 , 6.162E-03 
 6.880E-03 , 1.283E+00 , 1.283E+00 , 1.283E+00 , 1.283E+00 , 1.319E+00 , 8.803E-06 
 6.930E-03 , 6.162E-03 , 6.162E-03 , 6.162E-03 , 6.162E-03 , 1.280E+00 , 6.162E-03 
 6.980E-03 , 1.300E+00 , 1.300E+00 , 1.300E+00 , 1.300E+00 , 1.300E+00 , 1.329E+00 
 7.030E-03 , 6.163E-03 , 6.163E-03 , 6.163E-03 , 6.163E-03 , 6.163E-03 , 1.280E+00 
 7.080E-03 , 1.300E+00 , 1.300E+00 , 1.300E+00 , 1.300E+00 , 1.300E+00 , 1.329E+00 
 7.130E-03 , 6.163E-03 , 6.163E-03 , 6.163E-03 , 6.163E-03 , 1.280E+00 , 6.163E-03 
 7.180E-03 , 1.283E+00 , 1.283E+00 , 1.283E+00 , 1.283E+00 , 1.319E+00 , 8.729E-06 
 7.230E-03 , 6.163E-03 , 6.163E-03 , 6.163E-03 , 6.163E-03 , 6.163E-03 , 1.280E+00 
 7.280E-03 , 1.300E+00 , 1.300E+00 , 1.300E+00 , 1.300E+00 , 1.300E+00 , 1.329E+00 
 7.330E-03 , 6.164E-03 , 6.164E-03 , 6.164E-03 , 6.164E-03 , 1.280E+00 , 6.164E-03 
 7.380E-03 , 1.283E+00 , 1.283E+00 , 1.283E+00 , 1.283E+00 , 1.319E+00 , 8.784E-06 
 7.430E-03 , 6.164E-03 , 6.164E-03 , 6.164E-03 , 6.164E-03 , 1.280E+00 , 6.164E-03 
 7.480E-03 , 1.300E+00 , 1.300E+00 , 1.300E+00 , 1.300E+00 , 1.300E+00 , 1.329E+00 
 7.530E-03 , 6.164E-03 , 6.164E-03 , 6.164E-03 , 6.164E-03 , 1.280E+00 , 6.164E-03 
 7.580E-03 , 1.300E+00 , 1.300E+00 , 1.300E+00 , 1.300E+00 , 1.300E+00 , 1.329E+00 
 7.630E-03 , 6.164E-03 , 6.164E-03 , 6.164E-03 , 6.164E-03 , 1.280E+00 , 6.164E-03 
 7.680E-03 , 1.283E+00 , 1.283E+00 , 1.283E+00 , 1.283E+00 , 1.319E+00 , 8.726E-06 
 7.730E-03 , 6.165E-03 , 6.165E-03 , 6.165E-03 , 6.165E-03 , 1.280E+00 , 6.165E-03 
 7.780E-03 , 1.300E+00 , 1.300E+00 , 1.300E+00 , 1.300E+00 , 1.300E+00 , 1.329E+00 
 7.830E-03 , 6.165E-03 , 6.165E-03 , 6.165E-03 , 6.165E-03 , 1.280E+00 , 6.165E-03 
 7.880E-03 , 1.283E+00 , 1.283E+00 , 1.283E+00 , 1.283E+00 , 1.319E+00 , 8.786E-06 
 7.930E-03 , 1.715E-03 , 1.715E-03 , 1.715E-03 , 1.715E-03 , 1.231E+00 , 1.290E+00 
 7.980E-03 , 1.283E+00 , 1.283E+00 , 1.283E+00 , 1.283E+00 , 1.319E+00 , 8.814E-06 
 8.030E-03 , 1.715E-03 , 1.715E-03 , 1.715E-03 , 1.715E-03 , 1.231E+00 , 1.290E+00 
